gene_symbol, H3k27me3, H3k36me3, expression, MAE(T/F), tissue, organism
per1, 0.406, 0.853, 0.819, 0, ES, mouse
per1, 0.254, 0.958, 0.827, 0, G1E_ER, mouse
per1, 0.430, 0.993, 0.902, 0, G1E, mouse
per1, 0.315, 0.994, 0.799, 0, Lymphoblast, mouse
per1, 0.417, 0.995, 0.961, 0, Megakaryocyte, mouse
per1, 0.298, 0.671, 0.825, 0, MEL, mouse
per1, 0.123, 0.930, 0.851, 0, NeuronalProgenitor_(EMTAB1822), mouse
per1, 0.123, 0.930, 0.851, 0, NeuronalProgenitor_(GSE54016), mouse
per1, 0.075, 0.977, 0.799, 0, Neuron, mouse
per1, , , , NA, Lymphoblast_PMC3334567, mouse
per1, , , 0.812, 0, GM12878, human
per1, , , 0.622, 0, K562, human
per1, , , 0.587, 0, H1ESC, human
per1, , , 0.679, 0, HSMM, human
per1, , , 0.548, 0, HUVEC, human
per1, , , 0.731, 0, HMEC, human
per1, , , 0.420, 0, HCC1954, human
per1, , , 0.812, 0, PBMC, human
per1, , , , NA, B_Cell, human
arntl, 0.318, 0.718, 0.564, 0, Fibroblast, mouse
arntl, 0.338, 0.686, 0.665, 0, Bcellcd43n, mouse
arntl, 0.363, 0.701, 0.223, 0, Heart, mouse
arntl, 0.244, 0.620, 0.189, 0, Kidney, mouse
arntl, 0.304, 0.668, 0.570, 0, Liver, mouse
arntl, 0.239, 0.679, 0.437, 0, SmIntestine, mouse
arntl, 0.335, 0.653, 0.465, 0, Spleen, mouse
arntl, 0.257, 0.481, 0.372, 0, Testis, mouse
arntl, 0.323, 0.759, 0.826, 0, Thymus, mouse
arntl, 0.347, 0.774, 0.547, 0, C2C12_EqS, mouse
arntl, 0.495, 0.616, 0.501, 0, C2C12, mouse
arntl, 0.504, 0.559, 0.452, 1, CH12, mouse
arntl, 0.737, 0.496, 0.404, 1, E14_WholeBrain, mouse
arntl, 0.740, 0.553, 0.423, 1, Erythroblast, mouse
arntl, 0.380, 0.607, 0.502, 0, ESBruce4, mouse
arntl, 0.603, 0.643, 0.519, 0, ES, mouse
arntl, 0.691, 0.620, 0.646, 0, G1E_ER, mouse
arntl, 0.691, 0.618, 0.600, 0, G1E, mouse
arntl, 0.728, 0.521, 0.606, 1, Lymphoblast, mouse
arntl, 0.813, 0.383, 0.447, 1, Megakaryocyte, mouse
arntl, 0.437, 0.582, 0.496, 0, MEL, mouse
arntl, 0.838, 0.497, 0.375, 1, NeuronalProgenitor_(EMTAB1822), mouse
arntl, 0.838, 0.497, 0.375, 1, NeuronalProgenitor_(GSE54016), mouse
arntl, 0.571, 0.638, 0.477, 0, Neuron, mouse
arntl, , , , NA, Lymphoblast_PMC3334567, mouse
arntl, , , 0.580, 0, GM12878, human
arntl, , , 0.425, 1, K562, human
arntl, , , 0.565, 1, H1ESC, human
arntl, , , 0.586, 0, HSMM, human
arntl, , , 0.563, 0, HUVEC, human
arntl, , , 0.726, 0, HMEC, human
arntl, , , 0.510, 0, HCC1954, human
arntl, , , 0.580, 0, PBMC, human
arntl, , , , NA, B_Cell, human
oprl1, 0.767, 0.143, 0.203, 1, Fibroblast, mouse
oprl1, 0.644, 0.252, 0.454, 1, Bcellcd43n, mouse
oprl1, 0.879, 0.204, 0.223, 1, Heart, mouse
oprl1, 0.802, 0.124, 0.189, 1, Kidney, mouse
oprl1, 0.833, 0.101, 0.195, 1, Liver, mouse
oprl1, 0.892, 0.242, 0.157, 1, SmIntestine, mouse
oprl1, 0.802, 0.149, 0.205, 1, Spleen, mouse
oprl1, 0.659, 0.522, 0.658, 1, Testis, mouse
oprl1, 0.746, 0.252, 0.457, 1, Thymus, mouse
oprl1, 0.861, 0.075, 0.315, 1, C2C12_EqS, mouse
oprl1, 0.836, 0.370, 0.114, 1, C2C12, mouse
oprl1, 0.908, 0.296, 0.120, 1, CH12, mouse
oprl1, 0.296, 0.637, 0.939, 0, E14_WholeBrain, mouse
oprl1, 0.721, 0.219, 0.112, 1, Erythroblast, mouse
oprl1, 0.694, 0.254, 0.349, 1, ESBruce4, mouse
oprl1, 0.808, 0.296, 0.487, 1, ES, mouse
oprl1, 0.885, 0.349, 0.152, 1, G1E_ER, mouse
oprl1, 0.819, 0.391, 0.095, 1, G1E, mouse
oprl1, 0.778, 0.234, 0.154, 1, Lymphoblast, mouse
oprl1, 0.875, 0.202, 0.500, 1, Megakaryocyte, mouse
oprl1, 0.623, 0.560, 0.361, 1, MEL, mouse
oprl1, 0.719, 0.225, 0.532, 1, NeuronalProgenitor_(EMTAB1822), mouse
oprl1, 0.719, 0.225, 0.532, 1, NeuronalProgenitor_(GSE54016), mouse
oprl1, 0.543, 0.654, 0.963, 0, Neuron, mouse
oprl1, , , , NA, Lymphoblast_PMC3334567, mouse
oprl1, , , 0.459, 1, GM12878, human
oprl1, , , 0.413, 1, K562, human
oprl1, , , 0.376, 1, H1ESC, human
oprl1, , , 0.401, 1, HSMM, human
oprl1, , , 0.469, 1, HUVEC, human
oprl1, , , 0.342, 1, HMEC, human
oprl1, , , 0.314, 1, HCC1954, human
oprl1, , , 0.459, 1, PBMC, human
oprl1, , , , NA, B_Cell, human
bhlhe41, 0.443, 0.444, 0.622, 0, Fibroblast, mouse
bhlhe41, 0.804, 0.497, 0.726, 1, Bcellcd43n, mouse
bhlhe41, 0.848, 0.852, 0.899, 0, Heart, mouse
bhlhe41, 0.850, 0.462, 0.617, 1, Kidney, mouse
bhlhe41, 0.685, 0.440, 0.816, 1, Liver, mouse
bhlhe41, 0.970, 0.456, 0.716, 1, SmIntestine, mouse
bhlhe41, 0.932, 0.588, 0.805, 1, Spleen, mouse
bhlhe41, 0.912, 0.453, 0.503, 1, Testis, mouse
bhlhe41, 0.966, 0.534, 0.780, 1, Thymus, mouse
bhlhe41, 0.175, 0.595, 0.916, 0, C2C12_EqS, mouse
bhlhe41, 0.362, 0.550, 0.799, 0, C2C12, mouse
bhlhe41, 0.461, 0.649, 0.972, 0, CH12, mouse
bhlhe41, 0.968, 0.388, 0.490, 1, E14_WholeBrain, mouse
bhlhe41, 0.967, 0.219, 0.596, 1, Erythroblast, mouse
bhlhe41, 0.979, 0.415, 0.546, 1, ESBruce4, mouse
bhlhe41, 0.974, 0.381, 0.560, 1, ES, mouse
bhlhe41, 0.478, 0.430, 0.152, 1, G1E_ER, mouse
bhlhe41, 0.440, 0.277, 0.310, 0, G1E, mouse
bhlhe41, 0.899, 0.348, 0.608, 1, Lymphoblast, mouse
bhlhe41, 0.809, 0.560, 0.891, 1, Megakaryocyte, mouse
bhlhe41, 0.713, 0.364, 0.097, 1, MEL, mouse
bhlhe41, 0.982, 0.547, 0.687, 1, NeuronalProgenitor_(EMTAB1822), mouse
bhlhe41, 0.982, 0.547, 0.687, 1, NeuronalProgenitor_(GSE54016), mouse
bhlhe41, 0.894, 0.540, 0.689, 1, Neuron, mouse
bhlhe41, , , , NA, Lymphoblast_PMC3334567, mouse
bhlhe41, , , 0.483, 1, GM12878, human
bhlhe41, , , 0.312, 1, K562, human
bhlhe41, , , 0.322, 1, H1ESC, human
bhlhe41, , , 0.474, 0, HSMM, human
bhlhe41, , , 0.410, 1, HUVEC, human
bhlhe41, , , 0.798, 0, HMEC, human
bhlhe41, , , 0.704, 0, HCC1954, human
bhlhe41, , , 0.483, 1, PBMC, human
bhlhe41, , , , NA, B_Cell, human
dbp, 0.406, 0.434, 0.741, 0, Fibroblast, mouse
dbp, 0.814, 0.595, 0.761, 1, Bcellcd43n, mouse
dbp, 0.285, 0.804, 0.974, 0, Heart, mouse
dbp, 0.359, 0.713, 0.964, 0, Kidney, mouse
dbp, 0.130, 0.661, 0.978, 0, Liver, mouse
dbp, 0.626, 0.693, 0.961, 0, SmIntestine, mouse
dbp, 0.126, 0.544, 0.914, 0, Spleen, mouse
dbp, 0.639, 0.515, 0.759, 1, Testis, mouse
dbp, 0.129, 0.518, 0.848, 0, Thymus, mouse
dbp, 0.038, 0.464, 0.892, 0, C2C12_EqS, mouse
dbp, 0.093, 0.485, 0.755, 0, C2C12, mouse
dbp, 0.135, 0.558, 0.720, 0, CH12, mouse
dbp, 0.837, 0.462, 0.570, 1, E14_WholeBrain, mouse
dbp, 0.777, 0.519, 0.726, 1, Erythroblast, mouse
dbp, 0.114, 0.414, 0.575, 0, ESBruce4, mouse
dbp, 0.315, 0.632, 0.726, 0, ES, mouse
dbp, 0.022, 0.611, 0.712, 0, G1E_ER, mouse
dbp, 0.176, 0.689, 0.796, 0, G1E, mouse
dbp, 0.083, 0.513, 0.545, 0, Lymphoblast, mouse
dbp, 0.031, 0.664, 0.931, 0, Megakaryocyte, mouse
dbp, 0.403, 0.760, 0.739, 0, MEL, mouse
dbp, 0.608, 0.649, 0.891, 0, NeuronalProgenitor_(EMTAB1822), mouse
dbp, 0.608, 0.649, 0.891, 0, NeuronalProgenitor_(GSE54016), mouse
dbp, 0.072, 0.498, 0.631, 0, Neuron, mouse
dbp, , , , NA, Lymphoblast_PMC3334567, mouse
dbp, , , 0.781, 1, GM12878, human
dbp, , , 0.613, 0, K562, human
dbp, , , 0.621, 1, H1ESC, human
dbp, , , 0.427, 0, HSMM, human
dbp, , , 0.439, 1, HUVEC, human
dbp, , , 0.404, 0, HMEC, human
dbp, , , 0.776, 0, HCC1954, human
dbp, , , 0.781, 0, PBMC, human
dbp, , , , NA, B_Cell, human
dusp11, 0.092, 0.814, 0.934, 0, Fibroblast, mouse
dusp11, 0.481, 0.979, 0.969, 0, Bcellcd43n, mouse
dusp11, 0.524, 0.950, 0.882, 0, Heart, mouse
dusp11, 0.301, 0.940, 0.904, 0, Kidney, mouse
dusp11, 0.369, 0.961, 0.892, 0, Liver, mouse
dusp11, 0.418, 0.988, 0.900, 0, SmIntestine, mouse
dusp11, 0.200, 0.960, 0.905, 0, Spleen, mouse
dusp11, 0.117, 0.838, 0.808, 0, Testis, mouse
dusp11, 0.088, 0.959, 0.956, 0, Thymus, mouse
dusp11, 0.271, 0.982, 0.867, 0, C2C12_EqS, mouse
dusp11, 0.285, 0.966, 0.834, 0, C2C12, mouse
dusp11, 0.117, 0.921, 0.832, 0, CH12, mouse
dusp11, 0.623, 0.950, 0.933, 0, E14_WholeBrain, mouse
dusp11, 0.224, 0.949, 0.803, 0, Erythroblast, mouse
dusp11, 0.227, 0.908, 0.918, 0, ESBruce4, mouse
dusp11, 0.130, 0.911, 0.847, 0, ES, mouse
dusp11, 0.327, 0.954, 0.891, 0, G1E_ER, mouse
dusp11, 0.189, 0.890, 0.856, 0, G1E, mouse
dusp11, 0.491, 0.900, 0.896, 0, Lymphoblast, mouse
dusp11, 0.154, 0.956, 0.754, 0, Megakaryocyte, mouse
dusp11, 0.189, 0.875, 0.920, 0, MEL, mouse
dusp11, 0.053, 0.931, 0.873, 0, NeuronalProgenitor_(EMTAB1822), mouse
dusp11, 0.053, 0.931, 0.873, 0, NeuronalProgenitor_(GSE54016), mouse
dusp11, 0.144, 0.870, 0.956, 0, Neuron, mouse
dusp11, , , , NA, Lymphoblast_PMC3334567, mouse
dusp11, , , 0.653, 0, GM12878, human
dusp11, , , 0.605, 0, K562, human
dusp11, , , 0.488, 0, H1ESC, human
dusp11, , , 0.778, 0, HSMM, human
dusp11, , , 0.620, 0, HUVEC, human
dusp11, , , 0.864, 0, HMEC, human
dusp11, , , 0.772, 0, HCC1954, human
dusp11, , , 0.653, 0, PBMC, human
dusp11, , , , NA, B_Cell, human
pias1, 0.337, 0.728, 0.647, 0, Fibroblast, mouse
pias1, 0.460, 0.796, 0.794, 0, Bcellcd43n, mouse
pias1, 0.485, 0.947, 0.637, 0, Heart, mouse
pias1, 0.595, 0.881, 0.586, 0, Kidney, mouse
pias1, 0.194, 0.848, 0.650, 0, Liver, mouse
pias1, 0.251, 0.768, 0.652, 0, SmIntestine, mouse
pias1, 0.321, 0.847, 0.646, 0, Spleen, mouse
pias1, 0.700, 0.827, 0.798, 0, Testis, mouse
pias1, 0.571, 0.875, 0.748, 0, Thymus, mouse
pias1, 0.447, 0.757, 0.530, 0, C2C12_EqS, mouse
pias1, 0.186, 0.666, 0.548, 0, C2C12, mouse
pias1, 0.164, 0.663, 0.569, 0, CH12, mouse
pias1, 0.515, 0.745, 0.600, 0, E14_WholeBrain, mouse
pias1, 0.057, 0.750, 0.623, 0, Erythroblast, mouse
pias1, 0.486, 0.789, 0.661, 0, ESBruce4, mouse
pias1, 0.206, 0.667, 0.539, 0, ES, mouse
pias1, 0.075, 0.701, 0.660, 0, G1E_ER, mouse
pias1, 0.050, 0.682, 0.609, 0, G1E, mouse
pias1, 0.375, 0.795, 0.868, 0, Lymphoblast, mouse
pias1, 0.084, 0.698, 0.531, 0, Megakaryocyte, mouse
pias1, 0.097, 0.912, 0.636, 0, MEL, mouse
pias1, 0.205, 0.695, 0.546, 0, NeuronalProgenitor_(EMTAB1822), mouse
pias1, 0.205, 0.695, 0.546, 0, NeuronalProgenitor_(GSE54016), mouse
pias1, 0.164, 0.571, 0.533, 0, Neuron, mouse
pias1, , , , NA, Lymphoblast_PMC3334567, mouse
pias1, , , 0.824, 0, GM12878, human
pias1, , , 0.746, 0, K562, human
pias1, , , 0.744, 0, H1ESC, human
pias1, , , 0.737, 0, HSMM, human
pias1, , , 0.756, 0, HUVEC, human
pias1, , , 0.805, 0, HMEC, human
pias1, , , 0.787, 0, HCC1954, human
pias1, , , 0.824, 0, PBMC, human
pias1, , , , NA, B_Cell, human
pdzrn3, 0.258, 0.688, 0.663, 0, Fibroblast, mouse
pdzrn3, 0.378, 0.113, 0.341, 0, Bcellcd43n, mouse
pdzrn3, 0.565, 0.697, 0.540, 0, Heart, mouse
pdzrn3, 0.469, 0.483, 0.545, 0, Kidney, mouse
pdzrn3, 0.576, 0.474, 0.494, 1, Liver, mouse
pdzrn3, 0.783, 0.365, 0.461, 1, SmIntestine, mouse
pdzrn3, 0.544, 0.210, 0.510, 1, Spleen, mouse
pdzrn3, 0.424, 0.309, 0.363, 0, Testis, mouse
pdzrn3, 0.534, 0.135, 0.263, 1, Thymus, mouse
pdzrn3, 0.350, 0.578, 0.540, 0, C2C12_EqS, mouse
pdzrn3, 0.328, 0.506, 0.548, 0, C2C12, mouse
pdzrn3, 0.600, 0.087, 0.245, 1, CH12, mouse
pdzrn3, 0.700, 0.460, 0.477, 1, E14_WholeBrain, mouse
pdzrn3, 0.659, 0.406, 0.284, 1, Erythroblast, mouse
pdzrn3, 0.770, 0.328, 0.385, 1, ESBruce4, mouse
pdzrn3, 0.653, 0.236, 0.305, 1, ES, mouse
pdzrn3, 0.381, 0.291, 0.358, 0, G1E_ER, mouse
pdzrn3, 0.376, 0.185, 0.273, 0, G1E, mouse
pdzrn3, 0.784, 0.188, 0.376, 1, Lymphoblast, mouse
pdzrn3, 0.576, 0.137, 0.329, 1, Megakaryocyte, mouse
pdzrn3, 0.731, 0.591, 0.324, 1, MEL, mouse
pdzrn3, 0.555, 0.693, 0.629, 0, NeuronalProgenitor_(EMTAB1822), mouse
pdzrn3, 0.555, 0.693, 0.629, 0, NeuronalProgenitor_(GSE54016), mouse
pdzrn3, 0.732, 0.459, 0.471, 1, Neuron, mouse
pdzrn3, , , , NA, Lymphoblast_PMC3334567, mouse
pdzrn3, , , 0.314, 1, GM12878, human
pdzrn3, , , 0.152, 1, K562, human
pdzrn3, , , 0.853, 1, H1ESC, human
pdzrn3, , , 0.475, 1, HSMM, human
pdzrn3, , , 0.364, 1, HUVEC, human
pdzrn3, , , 0.474, 0, HMEC, human
pdzrn3, , , 0.113, 1, HCC1954, human
pdzrn3, , , 0.314, 1, PBMC, human
pdzrn3, , , , NA, B_Cell, human
adra1b, 0.738, 0.314, 0.423, 1, Fibroblast, mouse
adra1b, 0.766, 0.127, 0.277, 1, Bcellcd43n, mouse
adra1b, 0.715, 0.608, 0.552, 1, Heart, mouse
adra1b, 0.831, 0.317, 0.399, 1, Kidney, mouse
adra1b, 0.535, 0.769, 0.743, 0, Liver, mouse
adra1b, 0.844, 0.148, 0.282, 1, SmIntestine, mouse
